site,country,lat,lon,bioregion,code,used
Aliji·n,Argentina,-28.18939972,-65.47250366,Piedmont,17,yes
Alijil·n,Argentina,-28.17919922,-65.52819824,Piedmont,18,yes
Altos,Argentina,-28.0564003,-65.6108017,Piedmont,20,yes
Barro Negro,Argentina,-24.36170006,-64.9661026,Piedmont,69,yes
colonia Baranda,Argentina,-27.48360062,-59.29169846,Misiones,202,yes
Colonia Benitez,Argentina,-27.33329964,-58.93330002,Misiones,203,yes
Colonia Presidente Yrigoyen,Argentina,-26.32699966,-56.77640152,Misiones,204,yes
Colonia Presidente Yrigoyen,Argentina,-26.27050018,-58.8103981,Misiones,205,yes
Deseado,Argentina,-25.88500023,-54.16730118,Misiones,240,yes
El galpÛn,Argentina,-25.38529968,-64.77529907,Piedmont,253,yes
El Rey 1,Argentina,-24.66279984,-64.40339661,Piedmont,255,yes
El Rey 2,Argentina,-24.72290039,-64.38839722,Piedmont,256,yes
El Soberbio,Argentina,-27.27000046,-54.11000061,Misiones,257,yes
Flor de oro,Argentina,-28.90509987,-59.65259933,Misiones,279,yes
FortÌn Chaj·,Argentina,-27.10770035,-59.77700043,Misiones,283,yes
Freile Pintado,Argentina,-23.96689987,-64.9068985,Piedmont,289,yes
Guadalupe Norte,Argentina,-28.92480087,-59.60020065,Misiones,307,yes
Gualeguaych˙,Argentina,-32.91999817,-58.18999863,Misiones,308,yes
Iguazu,Argentina,-25.84000015,-54.31999969,Misiones,332,yes
La gallareta,Argentina,-29.57180023,-60.35580063,Misiones,372,yes
La Ronda,Argentina,-24.07909966,-64.22540283,Piedmont,375,yes
Mocoret·,Argentina,-30.62000084,-57.99000168,Misiones,440,yes
Mocoret·,Argentina,-30.60000038,-57.9015007,Misiones,441,yes
MocovÌ,Argentina,-28.41300011,-59.68740082,Misiones,442,yes
Monolito a G¸emes,Argentina,-24.86669922,-65.20999908,Piedmont,447,yes
Moussy,Argentina,-29.02560043,-59.74269867,Misiones,461,yes
Paraje Km.302,Argentina,-29.01230049,-60.10559845,Misiones,561,yes
Parque Nacional Calilegua,Argentina,-23.75,-64.84999847,Piedmont,566,yes
Paso de los Libres,Argentina,-29.98999977,-57.45000076,Misiones,569,yes
Presidente de la Plaza,Argentina,-26.83939934,-59.70259857,Misiones,608,yes
Reconquista,Argentina,-29.14080048,-60.0530014,Misiones,624,yes
